time,step-size,{Attack}.Attack.output,{Controller1}.Controller1.accdes,{Controller2}.Controller2.accdes,{Controller3}.Controller3.accdes,{LeadCar}.LeadCar.accel,{LeadCar}.LeadCar.speed,{LeadCar}.LeadCar.x,{SimpleCar1}.SimpleCar1.speed,{SimpleCar1}.SimpleCar1.x,{SimpleCar2}.SimpleCar2.speed,{SimpleCar2}.SimpleCar2.x,{SimpleCar3}.SimpleCar3.speed,{SimpleCar3}.SimpleCar3.x
0.0,0.0,0.0,0.0,0.0,0.0,-0.01,10.0,40.0,5.0,25.0,5.0,15.0,5.0,5.0
0.1,0.1,0.0,1.8300000429153442,0.13499999046325684,0.13499999046325684,0.027692910893753947,9.999,41.0,5.0,25.5,5.0,15.5,5.0,5.5
0.2,0.1,1.8300000429153442,1.887292742729187,1.0687464475631714,0.2212464064359665,0.06534862343517606,10.001769291089376,41.9999,5.0,26.0,5.013499999046326,16.0,5.013499999046326,6.0
0.30000000000000004,0.1,1.887292742729187,1.9460523128509521,1.1110974550247192,0.7058744430541992,0.10292997598221719,10.008304153432894,43.000076929108936,5.183000004291534,26.5,5.120374643802643,16.501349999904633,5.035624639689923,6.501349999904633
0.4,0.1,1.9460523128509521,1.933054804801941,1.1720176935195923,0.7697067856788635,0.1403998802771651,10.018597151031116,44.00090734445222,5.371729278564453,27.018300000429154,5.231484389305115,17.013387464284897,5.106212083995342,7.004912463873625
0.5,0.1,1.933054804801941,1.9184515476226807,1.1977086067199707,0.8253680467605591,0.17772135804827702,10.032637139058833,45.00276705955533,5.566334509849548,27.5554729282856,5.348686158657075,17.53653590321541,5.183182762563229,7.515533672273159
0.6,0.1,1.9184515476226807,1.9021341800689697,1.2225337028503418,0.8631516098976135,0.21485757750286952,10.05040927486366,46.00603077346121,5.759639990329742,28.112106379270553,5.468457019329072,18.071404519081117,5.265719567239285,8.033851948529483
0.7,0.1,1.9021341800689697,1.8869222402572632,1.2456740140914917,0.8994881510734558,0.251771889675851,10.071895032613948,47.011071700947575,5.951485145092009,28.68807037830353,5.590710389614106,18.618250221014023,5.352034728229046,8.560423905253412
0.7999999999999999,0.1,1.8869222402572632,1.8728556632995605,1.2684907913208008,0.9346246719360352,0.28842786459782566,10.097072221581534,48.01826120420897,6.141698563098906,29.28321889281273,5.715277791023255,19.177321259975432,5.4419835433363914,9.095627378076315
0.8999999999999999,0.1,1.8728556632995605,1.859979271888733,1.2909833192825317,0.9692240953445435,0.32478932724707504,10.125915008041316,49.027968426367124,6.3303907871246325,29.89738874912262,5.842126870155336,19.748849039077758,5.535446010529995,9.639825732409955
0.9999999999999999,0.1,1.859979271888733,1.848222017288208,1.3131837844848633,1.003298282623291,0.3608203932499368,10.158393940766024,50.04055992717126,6.517676353454589,30.530427827835084,5.9712252020835885,20.33306172609329,5.6323684200644495,10.193370333462955
1.0999999999999999,0.1,1.848222017288208,1.837512731552124,1.3350681066513062,1.0368492603302002,0.39648550429434953,10.194475980091017,51.05639932124786,6.703674280643463,31.18219546318054,6.102543580532075,20.93018424630165,5.732698248326779,10.7566071754694
1.2,0.1,1.837512731552124,1.8277744054794312,1.356612205505371,1.0698511600494385,0.4317494632216135,10.234124530520452,52.07584691925696,6.888496482372283,31.852562891244887,6.236050391197206,21.540438604354858,5.836383174359799,11.329877000302078
1.3,0.1,1.8277744054794312,1.818932056427002,1.3777879476547241,1.1022775173187256,0.4665774687617367,10.277299476842613,53.09925937230901,7.072247755527496,32.54141253948212,6.3717116117477435,22.164043643474578,5.943368290364743,11.913515317738058
1.4000000000000001,0.1,1.818932056427002,1.8109121322631836,1.3985692262649536,1.1340999603271484,0.5009351498780872,10.323957223718786,54.12698931999327,7.255025196075439,33.24863731503487,6.509490406513216,22.80121480464935,6.053596042096616,12.507852146774534
1.5000000000000002,0.1,1.8109121322631836,1.80364191532135,1.418927788734436,1.1652910709381104,0.5347885996874562,10.374050738706595,55.15938504236515,7.43691840171814,33.974139834642415,6.649347329139712,23.452163845300674,6.167006038129331,13.113211750984195
1.6000000000000003,0.1,1.80364191532135,1.7970515489578247,1.4388359785079956,1.1958231925964355,0.5681044089220584,10.42752959867534,56.19679011623581,7.618009614944459,34.71783167481423,6.791240108013155,24.117098578214645,6.283535145223142,13.72991235479713
1.7000000000000004,0.1,1.7970515489578247,1.791070580482483,1.4582669734954834,1.2256685495376587,0.6008496989004456,10.484340039567547,57.239543076103345,7.798373806476594,35.47963263630867,6.935123705863955,24.79622258901596,6.4031174644827855,14.358265869319444
1.8000000000000005,0.1,1.791070580482483,1.7856324911117554,1.4771931171417236,1.2548006772994995,0.6329921539747959,10.544425009457592,58.2879770800601,7.978078961372376,36.259470016956335,7.080950403213503,25.48973495960236,6.525684319436552,14.998577615767724
1.9000000000000006,0.1,1.7856324911117554,1.7806707620620728,1.4955878257751465,1.283192753791809,0.6645000534225568,10.607724224855072,59.34241958100586,8.157186019420624,37.05727791309357,7.228669714927675,26.19782999992371,6.651164387166502,15.65114604771138
2.0000000000000004,0.1,1.7806707620620728,1.7761211395263672,1.5134235620498657,1.3108187913894653,0.6953423027509679,10.674174230197329,60.40319200349137,8.3357492685318,37.87299651503563,7.37822849750519,26.920696971416476,6.779483662545683,16.31626248642803
2.1000000000000005,0.1,1.7761211395263672,1.7719199657440186,1.5306745767593384,1.3376528024673462,0.7254884643835718,10.743708460472426,61.4706094265111,8.513816344738007,38.70657144188881,7.529570853710177,27.658519821166994,6.91056554168463,16.9942108526826
